,Row,FICE,Full Professor Salary,Associate Professor Salary,Assistant Professor Salary,All Rank Salary,Full Professor Comp,Associate Professor Comp,Assistant Professor Comp,All Rank Comp,Number of Full Professors,Number of Associate Professors,Number of Assistant Professors,Number of Instructors,Number of All Rank Faculty
Row,1.0,0.3752042707407337,-0.06372096594923528,-0.06368457367020319,-0.08452290044053358,-0.09274046651448949,-0.05460675342046473,-0.04811509696943588,-0.05731997095497216,-0.07600470750894406,-0.08876576593641033,-0.045154524817398636,-0.05695454838889884,-0.04847022475677692,-0.06793977262645601
FICE,0.3752042707407337,1.0,0.022385346789483833,0.040056092227513954,0.04242008485546704,0.011518247976430314,0.02549634833423721,0.045321413570405006,0.060061213836307935,0.020358956836490555,0.007374933696238261,0.04397969920604144,0.030013794797533713,-0.004954227978234863,0.02902418095985808
Full Professor Salary,-0.06372096594923528,0.022385346789483833,1.0,0.9432597513861614,0.9091107962583064,0.9634718218439623,0.9880183317709325,0.9254027244814662,0.889580735842657,0.9497662104609813,0.5387414657185836,0.5591546787001653,0.5303992417794415,0.14067358247961256,0.5548989055051433
Associate Professor Salary,-0.06368457367020319,0.040056092227513954,0.9432597513861614,1.0,0.935047698459033,0.9404681442363304,0.9380396274219199,0.9801699625560227,0.9189682940522816,0.9321808942939994,0.454006036140932,0.4855111395160381,0.4622929271513047,0.12513674900745536,0.47506265890788385
Assistant Professor Salary,-0.08452290044053358,0.04242008485546704,0.9091107962583064,0.935047698459033,1.0,0.9251128964627262,0.9015192218005055,0.9171322331314103,0.9695583950635251,0.9134504686910154,0.5011573126849033,0.5298785796984463,0.5010816447764197,0.14168861248766734,0.5214311877757192
All Rank Salary,-0.09274046651448949,0.011518247976430314,0.9634718218439623,0.9404681442363304,0.9251128964627262,1.0,0.957673250390984,0.9283973615370789,0.9101647229718259,0.9877239138596963,0.5726330749219439,0.5411947364131875,0.48265601022279764,0.058876441487173456,0.5452297173974107
Full Professor Comp,-0.05460675342046473,0.02549634833423721,0.9880183317709325,0.9380396274219199,0.9015192218005055,0.957673250390984,1.0,0.9462548656526208,0.9087961218933409,0.9662708749524332,0.5107862585839369,0.52841729626447,0.4949686857608856,0.11463282471105261,0.5220817464331152
Associate Professor Comp,-0.04811509696943588,0.045321413570405006,0.9254027244814662,0.9801699625560227,0.9171322331314103,0.9283973615370789,0.9462548656526208,1.0,0.9410058117251776,0.9492700836966392,0.4323164854950149,0.4589963607541489,0.4291081964983792,0.0996109749401965,0.44685710692013525
Assistant Professor Comp,-0.05731997095497216,0.060061213836307935,0.889580735842657,0.9189682940522816,0.9695583950635251,0.9101647229718259,0.9087961218933409,0.9410058117251776,1.0,0.9324683171532264,0.48839067729950636,0.5107745926724904,0.4777850438410378,0.12786012118640594,0.5025130648053399
All Rank Comp,-0.07600470750894406,0.020358956836490555,0.9497662104609813,0.9321808942939994,0.9134504686910154,0.9877239138596963,0.9662708749524332,0.9492700836966392,0.9324683171532264,1.0,0.546359775342418,0.5166258913118469,0.4559843723893098,0.04548286286404266,0.518146706381452
Number of Full Professors,-0.08876576593641033,0.007374933696238261,0.5387414657185836,0.454006036140932,0.5011573126849033,0.5726330749219439,0.5107862585839369,0.4323164854950149,0.48839067729950636,0.546359775342418,1.0,0.9004204390596655,0.8570332473476479,0.3543445187745887,0.9642886034694659
Number of Associate Professors,-0.045154524817398636,0.04397969920604144,0.5591546787001653,0.4855111395160381,0.5298785796984463,0.5411947364131875,0.52841729626447,0.4589963607541489,0.5107745926724904,0.5166258913118469,0.9004204390596655,1.0,0.922264531942932,0.4446866864272466,0.9665159292844876
Number of Assistant Professors,-0.05695454838889884,0.030013794797533713,0.5303992417794415,0.4622929271513047,0.5010816447764197,0.48265601022279764,0.4949686857608856,0.4291081964983792,0.4777850438410378,0.4559843723893098,0.8570332473476479,0.922264531942932,1.0,0.5332738459582326,0.9495857890598599
Number of Instructors,-0.04847022475677692,-0.004954227978234863,0.14067358247961256,0.12513674900745536,0.14168861248766734,0.058876441487173456,0.11463282471105261,0.0996109749401965,0.12786012118640594,0.04548286286404266,0.3543445187745887,0.4446866864272466,0.5332738459582326,1.0,0.48042681552093225
Number of All Rank Faculty,-0.06793977262645601,0.02902418095985808,0.5548989055051433,0.47506265890788385,0.5214311877757192,0.5452297173974107,0.5220817464331152,0.44685710692013525,0.5025130648053399,0.518146706381452,0.9642886034694659,0.9665159292844876,0.9495857890598599,0.48042681552093225,1.0
